Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
257,20,237,0,COM,Air New Zealand Flight 901,McDonnell Douglas DC-10-30,"Mt. Erebus, Antarctica",ENR,28-Nov-79,-77.57173157,167.0849609
123,12,111,0,COM,South African Airways Flight 228,Boeing 707-344C,"Windhoek, Namibia",ICL,20-Apr-68,-22.57159042,17.0907402
159,19,140,0,COM,South African Airways Flight 295,Boeing 747-244B,"Indian Ocean, area ofÿMauritius",ENR,28-Nov-87,-20.22040939,57.58937836
123,6,117,0,COM,Faucett Flight 251,Boeing 737-222,"Arequipa, Peru",APR,29-Feb-96,-16.40069008,-71.53640747
152,11,141,0,COM,Yemenia Flight 626,Airbus A310-324,"Mozambique channelÿoffMitsamiouli, Comoros",APR,30-Jun-09,-15.86423397,42.62225342
130,4,126,0,COM,TAAG Angola Airlines (D2-TBN),Boeing 737-200,"Lubango, Angola",ICL,8-Nov-83,-14.90087032,13.51366043
101,7,92,2,COM,LANSA Flight 502,Lockheed L-188 Electra,"Cusco, Peru",ICL,9-Aug-70,-13.51657963,-71.97837067
199,6,181,12,COM,TAM Airlines Flight 3054,Airbus A320-233,"S?o Paulo, Brazil",LDG,17-Jul-07,-10.81045151,-52.97311783
99,6,89,4,COM,TAM Airlines Flight 402,Fokker 100,"S?o Paulo, Brazil",ICL,31-Oct-96,-10.81045151,-52.97311783
154,6,148,0,COM,Gol Transportes A‚reos Flight 1907 and,Boeing 737-8EHÿandÿEmbraer Legacy,"nearÿPeixoto Azevedo, Brazil",ENR,29-Sep-06,-10.2401695,-55.0002899
141,4,137,0,COM,Trans Service Airlift (9Q-CRR),Lockheed L-188 Electra,"nearÿCaungula, Lunda Norte Province, Angola",UNK,18-Dec-95,-8.767849922,18.35540009
107,11,96,0,COM,Pan Am Flight 812,Boeing 707-321B,"area ofÿNegara, Bali, Indonesia",APR,22-Apr-74,-8.367530823,115.1834259
237,0,0,237,COM,African Air (RA-26222),Antonov An-32B,"Kinshasa, DR Congo",ICL,8-Jan-96,-4.312220097,15.2895298
137,9,128,0,COM,VASP Flight 168,Boeing 727-212A,"Pacatuba, Brazil",APR,8-Jun-82,-3.901309967,-38.62060928
119,8,111,0,COM,TAME Ecuador (HC-BIG),Boeing 737-200 Advanced,"Cuenca, Ecuador",APR,11-Jul-83,-2.893079996,-78.99411774
104,7,97,0,COM,SilkAir Flight 185,Boeing 737-36N,"Musi River, Indonesia",ENR,19-Dec-97,-2.740600109,103.5117035
102,6,96,0,COM,Adam Air Flight 574[nb 16],Boeing 737-4Q8,"Makassar Strait, Indonesia",ENR,1-Jan-07,-2,117.5
234,12,222,0,COM,Garuda Indonesia Flight 152,Airbus A300B4-220,"nearÿMedan, Indonesia",APR,26-Sep-97,3.547015,98.7123566
149,5,95,49,COM,Mandala Airlines Flight 091,Boeing 737-230,"Medan, Indonesia",ICL,5-Sep-05,3.585242033,98.67559814
114,6,108,0,COM,Kenya Airways Flight 507,Boeing 737-8AL,"Douala, Cameroon",ENR,5-May-07,4.064770222,9.701299667
111,10,101,0,COM,Caledonian Airways Flight 153,Douglas DC-7,"Douala, Cameroon",ICL,4-Mar-62,4.064770222,9.701299667
108,7,101,0,COM,Sosoliso Airlines Flight 1145,McDonnell Douglas DC-9-32,"Port Harcourt, Nigeria",LDG,10-Dec-05,4.743579865,7.044250011
176,9,167,0,COM,Surinam Airways Flight 764,Douglas DC-8-62,"Paramaribo, Surinam",APR,7-Jun-89,5.820310116,-55.16542053
132,7,125,0,COM,SAM Colombia Flight 501,Boeing 727-146,"La Canada, nearÿMedell¡n, Colombia",ENR,19-May-93,6.245790005,-75.57459259
141,5,136,0,COM,UTAGE Flight 141,Boeing 727-223,"Cotonou, Benin",TOF,25-Dec-03,6.35693121,2.440089941
163,6,147,10,COM,Dana Air Flight 992,McDonnell Douglas MD-83,"Lagos, Nigeria",APR,3-Jun-12,6.454710007,3.38876009
144,10,134,0,COM,ADC Airlines Flight 086,Boeing 727-231,"Ejirin,ÿLagos, Nigeria",APR,7-Nov-96,6.614230156,3.900190115
131,7,124,0,COM,Air Philippines Flight 541,Boeing 737-2H4,"Samal, Philippines",APR,19-Apr-00,7.077950001,125.7118607
183,8,175,0,COM,Icelandic Airlines Flight LL 001,Douglas DC-8-63CF,"Katunayake, Sri Lanka",APR,15-Nov-78,7.159659863,79.87023163
169,10,159,0,COM,Kenya Airways Flight 431,Airbus A310-304,"Gulf of Guinea, offÿC“te d'Ivoire",ENR,30-Jan-00,7.59875536,-5.552574635
191,9,182,0,COM,Martinair Holland Flight 138,Douglas DC-8-55F,"nearÿMaskeliya, Sri Lanka",ENR,4-Dec-74,7.789133549,80.6807251
143,7,136,0,COM,Avianca Flight 410,Boeing 727-21,"Sardinata, Colombia",ENR,17-Mar-88,8.070569992,-72.80268097
104,5,99,0,COM,Cebu Pacific Air Flight 387,McDonnell Douglas DC-9-32,"Mt. Balatukan, Philippines",ENR,2-Feb-98,8.770000458,124.9800034
101,11,90,0,COM,Thai Airways Flight 261,Airbus A310-300,"Surat Thani, Thailand",APR,11-Dec-98,9.133000374,99.31555939
117,6,111,0,COM,Bellview Airlines Flight 210,Boeing 737-2L9,"nearÿLagos, Nigeria",ENR,22-Oct-05,9.559505463,8.077880859
160,8,152,0,COM,West Caribbean Airways Flight 708,McDonnell Douglas MD-82,"Machiques, Venezuela",ENR,16-Aug-05,10.05965996,-72.55548859
155,10,74,71,COM,Viasa Flight 742,McDonnell Douglas DC-9-32,"Maracaibo, Venezuela",ICL,16-Mar-69,10.625,-71.67630005
176,6,170,0,COM,Nigeria Airways (JY-ADO),Boeing 707-3D3C,"Kano, Nigeria",LDG,22-Jan-73,11.98569965,8.490839958
149,7,64,78,COM,EAS Airlines Flight 4226,BAC One-Eleven 500,"Kano, Nigeria",ENR,4-May-02,11.98569965,8.490839958
158,6,152,0,COM,Air India Express Flight 812,Boeing 737-8HG,"Mangalore, India",LDG,22-May-10,12.92477036,74.85871887
228,22,206,0,COM,Korean Air Flight 801,Boeing 747-3B5,"Asan, Guam, US",APR,6-Aug-97,13.47138882,144.7138824
131,4,127,0,COM,Tan-Sahsa Flight 414,Boeing 727-224,"Tegucigalpa, Honduras",APR,21-Oct-89,14.08189964,-87.20539856
223,10,213,0,COM,Lauda Air Flight 004,Boeing 767-3Z9ER,"Phu Toei National Park, Thailand",ENR,26-May-91,14.89745522,99.42241669
111,4,0,107,COM,Flying Tiger Line (N228SW),Canadair CL-44D4-1,"Da Nang, Vietnam",APR,24-Dec-66,16.07136917,108.2207794
113,10,103,0,COM,Air France Flight 117,Boeing 707-328,"nearÿDeshaies, Guadeloupe, West Indies",APR,22-Jun-62,16.30879974,-61.78889847
107,11,96,0,COM,Flying Tiger Line Flight 739,Lockheed L-1049H Super Constellation,Pacific Ocean,ENR,16-Mar-62,18.34253502,148.1971893
102,5,97,0,COM,Dominicana de Aviaci¢n (HI-177),McDonnell Douglas DC-9-32,"Caribbean Sea, offÿSanto Domingo, Dominican Republic",ICL,15-Feb-70,18.48530006,-69.90779877
213,23,190,0,COM,Air India Flight 855,Boeing 747-237B,"Arabian Sea, offÿMumbai, India",ENR,1-Jan-78,18.93013,72.83009338
167,8,159,0,COM,Mexicana Flight 940,Boeing 727-264,"Sierra Madre Oriental Mts., Mexico",ENR,31-Mar-86,19.6009541,-99.1552124
116,11,105,0,COM,Sudan Airways Flight 139,Boeing 737-200C,"Port Sudan, Sudan",APR,8-Jul-03,19.61720085,37.21820831
189,13,176,0,COM,Alas Nacionales Flight 301,Boeing 757-225,"Atlantic Ocean, nearÿPuerto Plata, Dominican Republic",ENR,6-Feb-96,19.77879906,-70.69979858
261,14,247,0,COM,Nigeria Airways Flight 2120,Douglas DC-8-61,"Jeddah, Saudi Arabia",APR,11-Jul-91,21.48167992,39.18286133
102,6,96,0,COM,Air Alg‚rie Flight 6289,Boeing 737-2T4,"Tamanrasset, Algeria",ICL,6-Mar-03,22.79100037,5.526209831
131,6,125,0,COM,Indian Airlines Flight 113,Boeing 737-2A8,"Ahmedabad, India",APR,19-Oct-88,23.01930046,72.58174133
171,11,115,45,COM,Cubana de Aviaci¢n Flight 9646,Ilyushin II-62M,"Havana, Cuba",ICL,3-Sep-89,23.1321106,-82.36749268
225,19,206,0,COM,China Airlines Flight 611,Boeing 747-209B,"Taiwan Strait, nearÿPenghu Islands, China",ENR,25-May-02,23.558147,119.602498
110,6,104,0,COM,Far Eastern Air Transport Flight 103,Boeing 737-222,"Miaoli, Taiwan, China",ENR,22-Aug-81,23.75108337,120.9713593
156,11,145,0,COM,Pakistan International Airlines Flight 740,Boeing 707-340C,"nearÿTaif, Saudi Arabia",ENR,26-Nov-79,23.99472618,44.40135574
100,7,93,0,COM,United Arab Airlines (SU-APC),Ilyushin Il-18D,"Aswan, Egypt",LDG,20-Mar-69,24.09000969,32.89857864
301,14,287,0,COM,Saudia Flight 163,Lockheed L-1011-200 TriStar,"Riyadh, Saudi Arabia",ENR,19-Aug-80,24.64728928,46.71467972
112,6,106,0,COM,Sterling Airways Flight 296,Sud Aviation Caravelle,"Fujairah, United Arab Emirates",ENR,14-Mar-72,25.12199974,56.33779907
110,5,105,0,COM,ValuJet Flight 592,McDonnell Douglas DC-9-32,"Everglades, Florida, US",ENR,11-May-96,25.85693932,-81.38484955
143,8,135,0,COM,Gulf Air Flight 072,Airbus A320-212,"Persian Gulf, offÿAl Muharraq, Bahrain",APR,23-Aug-00,26.2551403,50.60586166
202,14,182,7,COM,China Airlines Flight 676,Airbus A300-622R,"Dayuan, Taiwan, China",APR,16-Feb-98,26.73329926,105.625
141,10,131,0,COM,China Southern Airlines Flight 3943,Boeing 737-31B,"Hejiaqiao,ÿYanshan District, China",APR,24-Nov-92,27.40940094,113.3440018
167,12,155,0,COM,Pakistan International Airlines Flight 268,Airbus A300B4-200,"Kathmandu, Nepal",APR,28-Sep-92,27.69330025,85.32250214
148,13,135,0,COM,Flash Airlines Flight 604,Boeing 737-3Q8,"Red Sea, offÿSharm el-Sheikh, Egypt",ENR,3-Jan-04,27.86951065,34.30419159
155,7,148,0,COM,Spantax Flight 275,Convair 990,"San Crist¢bal, Tenerife, Canary Islands, Spain",ICL,3-Dec-72,28.07844,-15.41547
113,14,99,0,COM,Thai Airways International Flight 311,Airbus A310-304,"Langtang National Park, Nepal",ENR,31-Jul-92,28.16805077,85.54602051
583,23,560,0,COM,Pan Am Flight 1736 and,Boeing 747-121ÿandÿBoeing 747-206B,"Tenerife, Spain",TXI and TOF,27-Mar-77,28.26861191,-16.60555649
146,8,138,0,COM,Dan-Air Flight 1008,Boeing 727-46,"La Esperanza Forrest,ÿTenerife, Canary Islands, Spain",APR,25-Apr-80,28.53919983,-16.20299911
349,33,316,0,COM,Saudi Arabian Flight 763 and,Boeing 747-168BÿandÿIlyushin Il-76TD,"Charkhi Dadri, India",ENR,12-Nov-96,28.59449959,76.29019928
108,10,98,0,COM,China Southwest Airlines Flight 4146,Ilyushin Il-18D,"nearÿChongqing, China",APR,18-Jan-88,29.5509491,106.5193481
153,7,138,8,COM,Pan Am Flight 759,Boeing 727-235,"Kenner, Louisiana, US",ICL,9-Jul-82,29.99020004,-90.24198914
121,13,108,0,COM,Pakistan International Airlines Flight 705,Boeing 720-040B,"New Cairo, Egypt",APR,20-May-65,30.03000069,31.46999931
188,7,181,0,COM,Alia Royal Jordanian (JY-AEE),Boeing 707-321C,"Tamri, Morocco",ENR,3-Aug-75,30.70056915,-9.826359749
108,8,100,0,COM,China General Aviation Flight 7552,Yakovlev Yak-42D,"Nanjing, China",ICL,31-Jul-92,32.0497818,118.7659836
128,8,120,0,COM,Iran Air Flight 291,Boeing 727-86,"Alborz Mts., Iran",APR,21-Jan-80,32.5007782,54.2942009
119,12,107,0,COM,Iran Air Tours Flight 956,Tupolev Tu-154M,"nearÿSarab-e Dowreh, Iran",APR,12-Feb-02,32.5007782,54.2942009
